open,low,high,close,volume,weighted_sentiment,returns,volatility,rsi,ma_7,ma_30,regime
26929.98,26740.95,27678.73,27171.13,11889.94842508,0.4571369796991348,0.008954704013890868,0.018296493675829483,40.8497695629168,27136.755714285715,28356.129333333334,0
27165.26,26860.12,27302.99,27037.68,11209.90767959,0.0541718874658856,-0.004911463012395867,0.017771626074205238,31.61231681770876,27049.66857142857,28246.515666666666,0
27037.72,26543.87,27516.58,27407.77,13308.63176925,0.0491475563049316,0.013687934763633613,0.017948664197860585,31.851866688030768,27018.777142857143,28178.444333333333,0
27407.76,26361.52,27487.71,26820.49,12604.94858584,0.53432773169544,-0.02142750030374596,0.018464543040425448,29.21388448914945,26995.052857142862,28059.34733333333,0
26819.64,26632.73,27190.35,26890.27,7587.52629065,0.2054759066838484,0.002601742175478483,0.017383100056551127,19.151748559865553,27006.68571428571,27995.365666666665,0
26890.27,26836.21,27178.99,27113.61,3127.42757901,0.3373671876661704,0.008305606451701752,0.017465161865806184,26.93792104197982,27052.99,27957.546666666665,0
27113.97,26667.63,27288.02,26752.65,5534.52475759,-0.3026586688227123,-0.013312871284937633,0.015489512015389423,27.41263511386296,27027.657142857144,27940.84,0
26751.0,26536.99,27105.63,26854.73,8554.42214009,0.952912161025134,0.003815696762750509,0.015567581976331894,36.59422948685631,26982.457142857143,27908.617333333335,0
26854.09,26803.46,27500.0,27223.22,11594.53703302,0.4992085248958774,0.013721605095266431,0.01596298559944644,43.86282790099945,27008.962857142855,27896.292,0
27222.86,26070.04,27225.0,26321.4,17340.61730838,0.6407058088867752,-0.03312686743155291,0.017097373206635888,34.970358627151015,26853.767142857145,27856.503666666667,0
26321.42,25864.35,26625.93,26479.06,12094.45706071,-0.0152737013318321,0.0059898029740059755,0.01540922506927944,43.41538477507214,26804.99142857143,27795.658333333333,0
26479.15,26334.33,26950.0,26714.86,9858.60032184,0.2267990135094698,0.008905149956229597,0.01475461996607637,48.79875043458699,26779.932857142856,27738.61766666667,0
26711.56,26559.96,26943.6,26867.99,3348.37908169,0.4079852148890495,0.0057320158144194,0.014517896301742791,50.970330216312846,26744.844285714287,27651.42666666667,0
26870.13,26780.11,28277.56,28070.04,9725.64198967,-0.2404015115329197,0.04473911148545162,0.01747185221301124,61.16156394652132,26933.042857142857,27609.140333333336,0
28070.04,27534.81,28473.93,27744.82,11355.24110493,0.5276307645596956,-0.011586018402538811,0.016783441676520426,55.52565423846353,27060.198571428573,27558.98933333333,0
27744.81,27555.0,28057.23,27700.15,12024.45830459,0.6960232356498982,-0.0016100302687132029,0.016288293882706955,56.491787149893106,27128.33142857143,27507.423,0
27700.68,26842.94,27844.89,27223.08,15163.06255735,0.098698341846466,-0.017222650418860508,0.01638018252733755,48.227322026740396,27257.14285714286,27478.95,0
27221.54,26615.0,27360.31,26828.42,11927.59445097,0.098146235517093,-0.014497257474172742,0.015700913044279195,50.079035547059505,27307.051428571427,27417.084,0
26827.73,26508.0,27307.44,27250.69,12206.16873203,0.3093980506062507,0.015739652204639798,0.016076057334714292,53.35635343681203,27383.59857142857,27357.482000000004,0
27252.67,26923.35,27341.13,27077.6,3589.32341986,0.2817589106162389,-0.00635176577180252,0.0161207536660206,49.66149461267875,27413.542857142857,27298.161000000004,0
27078.27,26958.98,27466.83,27122.04,4115.09881956,0.6537502911686897,0.0016412089697759313,0.01540320294232979,53.69209087547102,27278.114285714288,27217.67033333333,0
27122.03,25391.43,27137.75,25741.5,16641.46931851,0.0420165364231381,-0.050901038417464184,0.01859312112355515,41.13798796671185,26991.925714285717,27112.298333333332,0
25741.5,25351.92,27368.67,27243.63,18531.05925936,0.0026474547386169,0.058354408251267476,0.022254096645930616,50.13763478565792,26926.708571428575,27071.26833333333,0
27243.45,26121.06,27402.79,26346.41,16094.37567105,0.3143204460144042,-0.032933203101055186,0.023273915213628864,50.16875957327647,26801.47,27026.313333333335,1
